t=2026-07-31T09:49:03+0600 lvl=info msg="no configuration paths supplied"
t=2026-07-31T09:49:03+0600 lvl=info msg="using configuration at default config path" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml"
t=2026-07-31T09:49:03+0600 lvl=info msg="open config file" path="/Users/ashikkhan/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-07-31T09:50:19+0600 lvl=info msg="join connections" obj=join id=27d38ad316be l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:19+0600 lvl=info msg="join connections" obj=join id=220fed1e8e08 l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:19+0600 lvl=info msg="join connections" obj=join id=d897b000a061 l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:19+0600 lvl=info msg="join connections" obj=join id=2958a8cc8e95 l=127.0.0.1:3000 r=103.130.11.3:53876
t=2026-07-31T09:50:30+0600 lvl=info msg="join connections" obj=join id=37623e9616fc l=127.0.0.1:3000 r=103.130.11.44:57521
t=2026-07-31T09:50:38+0600 lvl=info msg="join connections" obj=join id=319e7c8e2162 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=a56003554150 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=6f99118575ff l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=41f0742fbe29 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=5ae9b415968a l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=b5e544cd48e5 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=e4bf8794e6e9 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=919c461fcab2 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=5646430a7f96 l=127.0.0.1:3000 r=103.130.11.44:61178
t=2026-07-31T09:50:39+0600 lvl=info msg="join connections" obj=join id=dc3dd353d67a l=127.0.0.1:3000 r=103.130.11.44:61178
